employee_id,Nama,domisili,jenis_kelamin,date_of_birth,join_date,resign_date,marriage_stat,dependant,education,absent_90D,avg_time_work,departemen,position,income,total_komp,job_satisfaction,performance_rating,churn_status
EM10510,Jayeng Winarno,Kota Jakarta Utara,Laki-laki,1983-09-11,2021-02-09,2023-06-22,Married,1,SLTA,9.0,9.28,Corporate Strategy & Communications,Manager,12131170.05629388,,4,3,1
EM4322,Cakrabuana Sitompul,Kabupaten Bekasi,Perempuan,1987-03-22,2022-02-28,2023-04-04,Married,1,SLTA,0.0,9.65,Marketing,Staff,1060575.0,,2,1,1
EM1637,Bagas Wulandari,Kota Jakarta Barat,Laki-laki,1970-04-27,2020-12-23,2023-03-25,Married,4,D2,4.0,9.83,Corporate Strategy & Communications,Manager,10300814.448839633,,3,3,1
EM14613,Dimas Kuswandari,Kota Jakarta Pusat,Laki-laki,1988-06-10,2022-11-21,2024-03-23,Married,1,D3,2.0,9.77,Creative & Design,Staff,4602479.0,,2,3,1
EM1084,Janet Utama,Kabupaten Bogor,Perempuan,1977-05-25,2021-06-07,2023-07-21,Married,3,SLTA,0.0,9.08,Corporate Strategy & Communications,Manager,14051450.305096874,,4,3,1
EM0930,Puti Pratiwi,Kota Depok,Laki-laki,1970-08-04,2023-03-08,2024-09-18,Married,2,D3,2.0,9.49,Finance & Accounting,Manager,8176198.283917031,,3,4,1
EM10525,Anom Yuniar,Kabupaten Bogor,Perempuan,1992-09-02,2022-04-10,2023-05-17,Single,0,D1,10.0,9.67,Marketing,Staff,3575828.0,1.0,3,1,1
EM7294,Kemal Rahayu,Kota Jakarta Barat,Perempuan,1983-07-08,2023-07-18,2024-09-02,Married,1,SLTA,13.0,9.86,Marketing,Manager,13133793.515891545,,4,3,1
EM14416,Victoria Habibi,Kota Jakarta Barat,Laki-laki,1975-08-05,2021-06-12,2023-10-18,Married,3,D2,2.0,9.73,Operations,Senior,8915128.782221595,,3,3,1
EM9117,Dewi Ardianto,Kota Jakarta Utara,Perempuan,1998-11-20,2021-03-28,2023-08-14,Married,1,D2,2.0,9.47,Marketing,Staff,3993961.0,,2,1,1
EM2393,Balamantri Narpati,Kabupaten Bekasi,Laki-laki,1995-05-10,2023-06-12,2024-07-09,Married,0,SLTA,13.0,9.34,Operations,Staff,1379070.0,1.0,3,1,1
EM5824,Jamil Ramadan,Kota Jakarta Barat,Perempuan,1984-10-31,2023-01-25,2024-06-03,Married,3,D1,8.0,9.84,Operations,Staff,3273694.0,,1,3,1
EM9608,Koko Yuliarti,Kota Depok,Laki-laki,1996-11-16,2022-05-09,2023-07-04,Single,0,SLTA,12.0,9.7,Finance & Accounting,Staff,1894375.0,,1,3,1
EM7047,Joko Mulyani,Tangerang,Laki-laki,1991-09-10,2023-08-11,2024-10-07,Divorce,1,SLTA,13.0,9.35,Marketing,Staff,1551424.0,,1,1,1
EM1950,Caraka Aryani,Kota Jakarta Barat,Perempuan,1983-05-27,2022-08-31,2024-10-02,Married,1,SLTA,0.0,9.13,Finance & Accounting,Manager,8111251.252364817,1.0,3,3,1
EM2928,Melinda Irawan,Kota Jakarta Utara,Perempuan,1996-08-12,2022-05-15,2023-07-06,Single,0,SLTA,14.0,9.33,HR,Staff,1400190.0,,1,2,1
EM6872,Mustofa Yuliarti,Kota Jakarta Timur,Perempuan,1982-07-07,2023-03-14,2024-07-10,Single,0,D2,1.0,9.35,Operations,Senior,7084918.476409407,1.0,4,4,1
EM3758,Adikara Maryati,Kota Jakarta Utara,Laki-laki,1982-10-19,2022-01-02,2023-03-28,Married,2,SLTA,5.0,9.24,Engineering & IT,Manager,11710062.090596342,,4,3,1
EM9757,Galih Nainggolan,Kota Jakarta Timur,Laki-laki,1995-05-04,2021-09-06,2023-05-06,Single,0,D3,7.0,9.31,Operations,Staff,3456793.0,,3,2,1
EM14578,Tantri Nasyiah,Kota Jakarta Barat,Perempuan,1990-08-06,2023-08-16,2024-10-02,Married,2,SLTA,9.0,9.16,HR,Staff,2894637.0,,1,3,1
EM5186,Galih Namaga,Kota Bogor,Laki-laki,1992-04-20,2022-11-02,2024-01-08,Married,0,SLTA,8.0,9.35,Engineering & IT,Staff,2516060.0,,1,2,1
EM5535,Pranawa Novitasari,Kota Jakarta Selatan,Laki-laki,1978-12-15,2022-07-24,2024-03-02,Married,1,D2,6.0,9.26,Finance & Accounting,Senior,9355827.916605508,,3,3,1
EM11891,Elma Hariyah,Kota Jakarta Utara,Laki-laki,1988-07-11,2023-02-08,2024-08-26,Married,1,D2,0.0,9.64,HR,Staff,4379673.0,1.0,2,3,1
EM10057,Rina Nainggolan,Kota Depok,Perempuan,1999-05-21,2023-05-03,2024-05-21,Single,0,SLTA,3.0,9.73,Finance & Accounting,Staff,1046332.0,,3,3,1
EM9252,Cayadi Hartati,Kabupaten Bogor,Laki-laki,1975-05-05,2022-05-08,2024-08-29,Married,2,D3,7.0,9.82,Finance & Accounting,Manager,8297224.167721441,,4,4,1
EM6915,Kajen Oktaviani,Kota Jakarta Barat,Perempuan,1991-01-31,2022-07-26,2024-08-28,Married,1,SLTA,13.0,9.43,Finance & Accounting,Staff,1520590.0,,1,3,1
EM12863,Dwi Purwanti,Kota Jakarta Utara,Perempuan,1972-02-21,2023-05-02,2024-06-22,Married,1,SLTA,0.0,9.19,Creative & Design,Manager,11122962.570145875,,4,4,1
EM2953,Marwata Sitompul,Kabupaten Bekasi,Laki-laki,1995-10-15,2023-07-17,2024-09-06,Married,1,SLTA,14.0,9.84,Corporate Strategy & Communications,Staff,1317117.0,,3,1,1
EM2585,Eva Latupono,Kabupaten Bekasi,Perempuan,1970-03-08,2021-03-23,2023-10-29,Married,3,D3,5.0,9.45,Finance & Accounting,Manager,7485075.751681374,,3,3,1
EM4087,Gara Dabukke,Tangerang,Perempuan,1984-08-06,2020-11-23,2023-01-24,Married,0,SLTA,10.0,9.21,Finance & Accounting,Staff,2782419.0,,1,1,1
EM13734,Ibun Pertiwi,Kota Jakarta Utara,Perempuan,1988-09-06,2021-11-06,2024-02-05,Single,0,SLTA,4.0,9.89,Operations,Staff,1193287.0,,2,2,1
EM4556,Ghani Siregar,Kabupaten Bogor,Laki-laki,1979-02-02,2022-02-27,2023-09-08,Married,4,D1,1.0,9.84,Corporate Strategy & Communications,Manager,9680692.720936157,,4,3,1
EM6470,Hadi Pangestu,Tangerang,Perempuan,1996-03-15,2022-08-29,2023-09-20,Single,0,SLTA,0.0,9.73,Marketing,Staff,1127481.0,,2,2,1
EM7004,Kunthara Purnawati,Kota Jakarta Selatan,Perempuan,1971-08-20,2022-04-12,2023-08-09,Married,2,SLTA,10.0,9.31,Finance & Accounting,Senior,9458761.901415637,,3,4,1
